id,OF2,OF3,OF4,OF5,OF6,OF7,OF8,OF9,OF10,OF11,OF13,OF14,OF15,OF16,OF17,OF18,OF19,OF20,OF21,OF22,OF23,OF24,OF25,OF26,OF27,OF28,OF29,OF31,OF33,OF34,OF37,OF38,F1,F2,F3_a,F3_b,F3_c,F3_d,F3_e,F3_f,F3_g,F4,F5,F6,F7,F8,F9,F10,F11,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F28,F29,F30,F31,F32,F33,F34,F35,F36,F37,F38,F39,F40,F41,F42,F43,F44,F45,F46,F47,F48,F49,F50,F51,F52,F53,F54,F55,F56,F57,F58,F59,F62,F63,F64,F65,F66b,F67,F68,S1,S2,S4,S5,WS,WS_Benefit,SFST,SFST_Benefit,SR,SR_Benefit,PR,PR_Benefit,NR,NR_Benefit,Provincial_Class,Federal_Class,Regime,Vegetation_Type,Vegetation_Cover,Woody_Canopy_Cover,Moss_Cover,Phragmites,Soil_Type,Surface_Water_Present,Saturation_Depth,Living_Moss_Depth,Organic_Depth,Hydrogeomorphic_Class
100,2,5,7,1,0,0,5,1,2,1,4,3,5,5,4,0.54,0.0,4,4,3,1,2,1,4,1887,0,6,0,0.0,0.0,0.0,4,3,0,5,2,1,1,1,1,0,2,42,4,1,0,0,0,1,1,1,3,2,4,2,1,2,3,4,2,3,5,2,2,1,4,0,0,0,0,0,0,0,0,0,1,0,2,2,4,0.0,3,3,1,5,0,0,5,1,4,1,1,5,1,1,0.0,0,6.67,186.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,1,0,1,1,2,1,1,3,1,1.0,2.0,1.0,1,0,0.0,2,0.0,0.0,0.0,42.3,4.0
102,4,5,7,1,0,0,5,4,3,1,5,2,4,5,4,0.52,0.0,4,4,2,1,3,3,4,1985,0,6,0,0.0,0.0,0.0,2,3,0,4,3,1,1,1,1,0,3,63,3,1,0,0,0,1,1,2,2,2,3,2,1,2,1,3,2,3,5,2,2,1,2,0,0,0,0,0,0,0,0,0,1,1,2,2,4,1.0,3,3,2,4,2,2,5,1,4,1,1,6,1,7,0.0,1,6.56,81.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,1,0,1,0,2,0,1,3,0,1.0,2.0,1.0,1,0,0.0,1,0.0,2.0,0.0,18.3,7.0
105,3,5,7,1,3,0,5,5,3,5,3,6,5,5,4,0.82,0.0,4,4,3,1,3,3,4,1408,2,6,0,0.3333333333333333,0.0,0.0,2,2,3,1,0,1,0,2,2,3,3,192,4,3,2,1,1,1,1,5,1,1,1,1,1,1,3,2,1,5,1,1,1,1,5,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1.0,3,3,1,5,0,0,5,1,4,1,1,3,1,4,0.0,1,0,87.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0,0,2,0,2,0,2,0,1,2,0.0,1.0,1.0,0,4,0.0,2,1.0,2.0,4.7,25.65,4.0
110,3,5,7,1,3,0,4,5,3,2,4,5,6,5,4,0.23,0.0,4,4,2,1,3,1,4,1624,0,6,0,0.6666666666666666,0.0,0.0,2,2,4,2,1,0,1,0,3,4,1,72,3,1,0,0,0,1,2,3,3,2,2,2,1,3,4,3,3,2,5,2,2,2,5,0,0,0,0,0,0,0,0,0,0,0,4,2,3,1.0,2,3,1,4,1,2,5,2,4,3,2,3,1,7,0.0,0,5.48,93.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0,0,2,0,2,0,2,0,1,5,2.0,1.0,0.0,0,3,0.0,0,2.0,2.0,3.3,33.0,4.0
111,3,4,6,4,3,0,4,1,2,3,6,6,2,5,4,0.16,0.0,4,4,3,1,3,3,4,2075,0,6,0,1.0,0.0,0.0,1,2,3,1,0,3,0,3,2,2,2,160,1,2,3,1,2,1,2,4,3,1,1,1,1,2,3,2,1,5,5,1,1,1,5,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1.0,3,2,1,5,0,0,4,1,4,1,1,0,1,7,1.0,0,7.12,99.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,2,0,2,0,2,1,1,5,0.0,2.0,0.0,0,2,0.0,2,1.0,2.0,4.3,124.3,5.0
113,3,5,7,1,3,0,4,5,3,5,5,4,6,5,4,0.7,0.0,4,4,2,1,3,3,4,1579,2,6,0,1.0,0.0,0.0,2,4,0,1,1,1,1,0,3,3,3,64,4,3,2,2,2,1,2,3,2,2,3,1,1,2,4,3,3,1,2,3,3,3,5,1,4,3,5,3,1,0,0,2,0,0,2,2,2,1.0,2,3,1,4,2,2,5,1,4,1,1,4,1,3,0.0,1,5.95,105.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,1,1,0,1,0,1,0,2,4,1.0,1.0,0.0,0,3,0.0,0,4.0,2.0,5.433333333333334,20.0,4.0
114,4,5,7,1,3,0,5,5,3,5,3,6,6,3,4,0.51,0.0,4,4,3,1,3,3,4,1698,0,6,0,1.0,0.0,0.0,2,2,3,1,0,2,2,2,3,3,3,224,1,3,2,1,1,1,2,5,2,2,1,1,1,3,3,2,1,4,4,2,2,2,5,0,0,0,0,0,0,0,0,0,0,0,2,2,4,0.0,3,3,1,5,0,0,5,1,4,1,0,6,1,7,0.0,1,3.9,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,0,0,0,1,0,0,0,1,2,0.0,1.0,0.0,0,4,0.0,2,0.0,2.0,6.566666666666666,55.0,5.0
127,4,5,7,1,3,0,4,5,3,4,3,4,6,4,4,0.51,0.0,4,4,2,1,3,3,3,1624,2,6,0,1.0,0.0,0.0,2,2,4,0,0,0,0,0,4,2,1,0,4,3,1,2,2,1,2,4,2,2,3,1,1,1,3,2,3,2,2,2,3,2,5,1,3,1,1,2,1,0,0,2,0,0,2,1,4,0.0,1,3,1,5,0,0,5,1,3,1,0,6,1,7,0.0,2,6.07,41.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,1,0,0,1,0,1,0,1,5,2.0,3.0,0.0,0,2,0.0,2,2.0,2.0,7.7,56.65,4.0
128,4,5,7,1,0,0,4,5,3,4,5,3,6,5,4,0.76,0.0,4,4,3,1,3,3,4,1579,0,6,0,1.0,0.0,0.0,2,1,3,1,0,1,0,1,4,2,1,192,3,1,0,0,0,1,1,4,2,2,1,1,2,3,3,2,2,4,2,2,2,2,5,1,5,4,5,3,1,0,0,2,0,0,5,0,0,1.0,3,3,1,5,0,0,5,1,4,1,1,6,1,7,0.0,1,3.96,230.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0,0,2,0,2,0,2,0,4,6,0.0,3.0,0.0,3,2,0.0,2,0.0,2.0,8.35,58.3,4.0
12,4,5,7,1,3,0,4,5,3,4,6,4,6,5,4,0.66,0.0,0,0,2,1,3,2,4,1357,0,6,0,1.0,0.0,0.0,2,2,3,1,0,2,1,2,3,3,2,128,4,3,1,1,1,1,2,4,2,2,1,1,2,1,3,2,2,2,2,2,5,2,5,1,5,3,5,2,1,0,1,2,1,0,2,1,2,0.0,1,3,1,5,0,0,5,1,4,1,0,6,1,7,0.0,1,4.16,52.0,1.0,0.0,0.0,0.0,0.0,0.0,1,0,1,1,1,2,1,2,1,2,1,2,2.0,1.0,0.0,0,2,0.0,2,2.0,2.0,9.0,399.0,0.0
131,2,5,7,1,3,0,4,5,3,5,5,5,5,3,4,0.46,0.0,4,4,3,1,0,3,5,1859,2,6,0,1.0,0.0,0.0,2,2,0,1,0,1,0,1,2,5,1,0,4,4,1,1,1,1,2,4,3,2,1,1,1,2,3,2,4,1,3,2,2,2,5,1,3,5,5,2,1,0,0,3,1,0,2,1,3,0.0,3,3,1,5,0,0,5,2,4,1,1,6,1,7,0.0,0,3.6,53.5,0.5,0.0,0.5,0.0,0.0,0.0,1,0,1,1,1,1,1,2,1,0,1,2,2.0,1.0,2.0,0,2,0.0,2,2.0,2.0,10.0,52.7,5.0
133,4,5,7,1,3,0,4,5,3,5,3,6,5,3,4,0.53,1.0,4,4,3,1,3,3,5,1677,2,6,0,1.0,0.0,0.0,2,1,3,1,0,1,1,3,3,2,3,160,3,2,2,1,1,1,1,5,1,1,1,1,1,1,3,2,2,4,3,1,1,1,5,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1.0,3,3,1,5,0,0,5,1,4,1,1,6,1,7,0.0,1,3.89,55.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0,0,2,2,2,2,2,2,4,6,0.0,3.0,0.0,0,4,0.0,2,0.0,2.0,10.0,52.7,5.0
134,4,5,7,1,3,0,5,5,3,4,3,6,6,3,4,0.81,0.0,4,4,3,1,3,3,4,1464,0,6,0,1.0,0.0,0.0,2,1,3,1,0,1,0,2,3,2,3,192,4,2,1,1,1,1,1,5,1,1,1,1,1,1,3,2,1,5,1,1,1,1,5,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1.0,3,0,1,5,0,0,5,1,4,1,1,6,1,7,0.0,1,4.04,48.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,2,0,2,0,2,0,4,6,0.0,1.0,0.0,0,4,0.0,2,0.0,2.0,5.0,47.7,5.0
